"TeamURL","League","Team"
"https://fbref.com/en/squads/50f2a074/Red-Bull-Salzburg-Stats","Austrian Football Bundesliga","Red Bull Salzburg"
"https://fbref.com/en/squads/3f4fe568/Sturm-Graz-Stats","Austrian Football Bundesliga","Sturm Graz"
"https://fbref.com/en/squads/8bb8811f/Ried-Stats","Austrian Football Bundesliga","Ried"
"https://fbref.com/en/squads/912e4c40/Rapid-Wien-Stats","Austrian Football Bundesliga","Rapid Wien"
"https://fbref.com/en/squads/f6d9c820/Hartberg-Stats","Austrian Football Bundesliga","Hartberg"
"https://fbref.com/en/squads/d7d06475/Admira-Wacker-Modling-Stats","Austrian Football Bundesliga","Admira Wacker Modling"
"https://fbref.com/en/squads/80beba99/Rheindorf-Altach-Stats","Austrian Football Bundesliga","Rheindorf Altach"
"https://fbref.com/en/squads/426658a6/Wolfsberger-AC-Stats","Austrian Football Bundesliga","Wolfsberger AC"
"https://fbref.com/en/squads/7030fffd/SK-Austria-Klagenfurt-Stats","Austrian Football Bundesliga","SK Austria Klagenfurt"
"https://fbref.com/en/squads/ee0bccc5/Austria-Wien-Stats","Austrian Football Bundesliga","Austria Wien"
"https://fbref.com/en/squads/d20821dd/LASK-Stats","Austrian Football Bundesliga","LASK"
"https://fbref.com/en/squads/c63dd2d5/WSG-Tirol-Stats","Austrian Football Bundesliga","WSG Tirol"
"https://fbref.com/en/squads/f1e6c5f1/Club-Brugge-Stats","Belgian First Division A","Club Brugge"
"https://fbref.com/en/squads/e14f61a5/Union-SG-Stats","Belgian First Division A","Union SG"
"https://fbref.com/en/squads/33c6b26e/Standard-Liege-Stats","Belgian First Division A","Standard Liege"
"https://fbref.com/en/squads/140e320a/Charleroi-Stats","Belgian First Division A","Charleroi"
"https://fbref.com/en/squads/1e972a99/Genk-Stats","Belgian First Division A","Genk"
"https://fbref.com/en/squads/5809ddc3/Eupen-Stats","Belgian First Division A","Eupen"
"https://fbref.com/en/squads/08ad393c/Anderlecht-Stats","Belgian First Division A","Anderlecht"
"https://fbref.com/en/squads/77193015/Kortrijk-Stats","Belgian First Division A","Kortrijk"
"https://fbref.com/en/squads/80328a1e/Sint-Truiden-Stats","Belgian First Division A","Sint Truiden"
"https://fbref.com/en/squads/89e806ff/RFC-Seraing-Stats","Belgian First Division A","RFC Seraing"
"https://fbref.com/en/squads/95b895fe/Oostende-Stats","Belgian First Division A","Oostende"
"https://fbref.com/en/squads/c2e6b53b/Antwerp-Stats","Belgian First Division A","Antwerp"
"https://fbref.com/en/squads/e8d2adc4/Cercle-Brugge-Stats","Belgian First Division A","Cercle Brugge"
"https://fbref.com/en/squads/ecd34b98/Zulte-Waregem-Stats","Belgian First Division A","Zulte Waregem"
"https://fbref.com/en/squads/51e5a603/Gent-Stats","Belgian First Division A","Gent"
"https://fbref.com/en/squads/09f00144/Mechelen-Stats","Belgian First Division A","Mechelen"
"https://fbref.com/en/squads/27e981a3/OH-Leuven-Stats","Belgian First Division A","OH Leuven"
"https://fbref.com/en/squads/c16e44ce/Beerschot-Wilrijk-Stats","Belgian First Division A","Beerschot Wilrijk"
"https://fbref.com/en/squads/488c6ba1/Ludogorets-Razgrad-Stats","First Professional Football League","Ludogorets Razgrad"
"https://fbref.com/en/squads/b35f18af/Slavia-Sofia-Stats","First Professional Football League","Slavia Sofia"
"https://fbref.com/en/squads/e56e174a/Botev-Plovdiv-Stats","First Professional Football League","Botev Plovdiv"
"https://fbref.com/en/squads/ab7b2fe7/Beroe-Stats","First Professional Football League","Beroe"
"https://fbref.com/en/squads/f61e60c9/Cherno-More-Stats","First Professional Football League","Cherno More"
"https://fbref.com/en/squads/cbde2682/CSKA-Sofia-Stats","First Professional Football League","CSKA Sofia"
"https://fbref.com/en/squads/87c3235f/Botev-Vratsa-Stats","First Professional Football League","Botev Vratsa"
"https://fbref.com/en/squads/21b98152/Lokomotiv-Sofia-Stats","First Professional Football League","Lokomotiv Sofia"
"https://fbref.com/en/squads/3a7a27c6/Levski-Sofia-Stats","First Professional Football League","Levski Sofia"
"https://fbref.com/en/squads/f98f6335/Tsarsko-Selo-Stats","First Professional Football League","Tsarsko Selo"
"https://fbref.com/en/squads/66906381/Arda-Stats","First Professional Football League","Arda"
"https://fbref.com/en/squads/eac36dde/CSKA-1948-Stats","First Professional Football League","CSKA 1948"
"https://fbref.com/en/squads/50facccf/Pirin-Blagoevgrad-Stats","First Professional Football League","Pirin Blagoevgrad"
"https://fbref.com/en/squads/e0242ef1/Lokomotiv-Plovdiv-Stats","First Professional Football League","Lokomotiv Plovdiv"
"https://fbref.com/en/squads/25dbe099/Rijeka-Stats","Croatian First Football League","Rijeka"
"https://fbref.com/en/squads/edd0d381/Dinamo-Zagreb-Stats","Croatian First Football League","Dinamo Zagreb"
"https://fbref.com/en/squads/6777e16d/Hajduk-Split-Stats","Croatian First Football League","Hajduk Split"
"https://fbref.com/en/squads/57d14db5/Osijek-Stats","Croatian First Football League","Osijek"
"https://fbref.com/en/squads/4faa6f09/Gorica-Stats","Croatian First Football League","Gorica"
